Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
2024-05-10,ICICIBANK,EQ,1115.7,1118.0,1128.9,1112.05,1118.3,1117.05,1118.62,8573656.0,9590623686.25,201833.0,"46,08,865",53.76
2024-05-13,ICICIBANK,EQ,1117.05,1112.4,1130.65,1106.7,1126.65,1128.0,1118.74,9707983.0,10860681696.7,310812.0,"53,35,513",54.96
2024-05-14,ICICIBANK,EQ,1128.0,1125.9,1127.9,1118.55,1120.6,1120.55,1122.22,8944262.0,10037433196.2,211368.0,"52,44,926",58.64
2024-05-15,ICICIBANK,EQ,1120.55,1122.1,1127.8,1113.5,1125.1,1124.35,1120.74,10743423.0,12040556800.25,200613.0,"44,34,922",41.28
2024-05-16,ICICIBANK,EQ,1124.35,1133.0,1136.55,1112.8,1129.0,1131.05,1124.26,14265565.0,16038189930.75,288251.0,"52,82,654",37.03
2024-05-17,ICICIBANK,EQ,1131.05,1131.05,1144.0,1120.6,1130.5,1130.5,1129.46,8641784.0,9760545932.65,184425.0,"46,87,091",54.24
2024-05-20,ICICIBANK,EQ,1131.05,1131.05,1144.0,1120.6,1130.5,1130.5,1129.46,8641784.0,9760545932.65,184425.0,"46,87,091",54.24
2024-05-21,ICICIBANK,EQ,1130.75,1122.2,1133.8,1116.25,1119.2,1120.95,1123.77,10452900.0,11746662509.9,303384.0,"75,32,194",72.06
2024-05-22,ICICIBANK,EQ,1120.95,1125.0,1125.9,1098.1,1114.65,1111.1,1111.52,17527411.0,19482088013.75,297269.0,"89,84,502",51.26
2024-05-23,ICICIBANK,EQ,1111.1,1115.55,1137.0,1111.4,1136.5,1134.5,1127.3,13787687.0,15542815997.35,356486.0,"66,65,714",48.35
2024-05-24,ICICIBANK,EQ,1134.5,1130.0,1135.0,1124.15,1132.4,1131.95,1128.96,6312670.0,7126733318.7,168952.0,"26,12,181",41.38
2024-05-27,ICICIBANK,EQ,1131.95,1131.9,1147.8,1121.55,1129.55,1129.8,1136.51,11599857.0,13183347631.65,232724.0,"63,78,103",54.98
2024-05-28,ICICIBANK,EQ,1129.8,1132.5,1135.2,1125.0,1126.0,1126.95,1128.55,9311718.0,10508731133.3,183922.0,"51,83,835",55.67
2024-05-29,ICICIBANK,EQ,1126.95,1115.05,1123.55,1098.5,1104.0,1102.0,1105.33,19268547.0,21298039298.25,278017.0,"1,14,55,727",59.45
2024-05-30,ICICIBANK,EQ,1102.0,1097.0,1121.0,1096.9,1118.0,1113.7,1112.39,15255387.0,16969873875.3,288897.0,"87,24,082",57.19
2024-05-31,ICICIBANK,EQ,1113.7,1118.0,1130.6,1111.25,1121.85,1121.05,1121.14,26197718.0,29371225814.9,372763.0,"1,24,92,870",47.69
2024-06-03,ICICIBANK,EQ,1121.05,1170.0,1173.0,1136.3,1164.9,1160.0,1153.68,25699977.0,29649582413.3,404461.0,"1,06,75,854",41.54
2024-06-04,ICICIBANK,EQ,1160.0,1157.9,1159.4,1053.55,1076.0,1071.45,1100.42,43476837.0,47842667620.9,736743.0,"1,40,54,035",32.33
2024-06-05,ICICIBANK,EQ,1071.45,1085.0,1123.25,1051.05,1102.95,1108.65,1088.83,42172104.0,45918290524.45,495916.0,"1,64,53,850",39.02
2024-06-06,ICICIBANK,EQ,1108.65,1118.0,1118.0,1096.6,1111.75,1110.4,1108.24,18574162.0,20584551019.2,322991.0,"71,01,228",38.23
2024-06-07,ICICIBANK,EQ,1110.4,1110.4,1128.3,1103.6,1121.0,1121.7,1121.0,17197635.0,19278488358.35,259981.0,"85,62,893",49.79
2024-06-10,ICICIBANK,EQ,1121.7,1116.0,1133.2,1115.1,1119.8,1123.8,1125.65,10851455.0,12214952684.85,266869.0,"68,65,455",63.27
2024-06-11,ICICIBANK,EQ,1123.8,1119.75,1129.05,1111.0,1117.0,1118.2,1121.15,12250002.0,13734101150.75,260793.0,"51,76,869",42.26
2024-06-12,ICICIBANK,EQ,1118.2,1121.0,1133.4,1112.0,1116.8,1119.55,1122.44,16096514.0,18067358887.55,252614.0,"83,59,873",51.94
2024-06-13,ICICIBANK,EQ,1119.55,1122.2,1123.2,1105.0,1110.3,1107.35,1113.06,12494254.0,13906865822.3,242344.0,"81,38,481",65.14
2024-06-14,ICICIBANK,EQ,1107.35,1114.0,1114.0,1099.45,1105.05,1105.65,1106.42,11377979.0,12588866450.9,254117.0,"63,28,869",55.62
2024-06-17,ICICIBANK,EQ,1107.35,1114.0,1114.0,1099.45,1105.05,1105.65,1106.42,11377979.0,12588866450.9,254117.0,"63,28,869",55.62
2024-06-18,ICICIBANK,EQ,1105.65,1113.95,1135.05,1101.2,1125.75,1122.85,1116.84,18306176.0,20445019555.65,395048.0,"1,22,78,243",67.07
